Datetime;Energy;Month;Day;Hour
2022-01-13;1,537;1;13;15
2022-01-13;2,206;1;13;16
2022-01-13;2,105;1;13;17
2022-01-13;1,905;1;13;18
2022-01-13;1,606;1;13;19
2022-01-13;1,829;1;13;20
2022-01-13;1,993;1;13;21
2022-01-13;2,118;1;13;22
2022-01-13;2,249;1;13;23
2022-01-13;2,097;1;13;24
2022-01-14;1,33;1;14;1
2022-01-14;1,48;1;14;2
2022-01-14;1,372;1;14;3
2022-01-14;1,381;1;14;4
2022-01-14;1,647;1;14;5
2022-01-14;1,306;1;14;6
2022-01-14;1,582;1;14;7
2022-01-14;1,861;1;14;8
2022-01-14;1,647;1;14;9
2022-01-14;1,715;1;14;10
2022-01-14;1,3;1;14;11
2022-01-14;1,36;1;14;12
2022-01-14;1,493;1;14;13
2022-01-14;2,045;1;14;14
2022-01-14;2,871;1;14;15
2022-01-14;2,953;1;14;16
2022-01-14;2,537;1;14;17
2022-01-14;2,617;1;14;18
2022-01-14;2,145;1;14;19
2022-01-14;2,559;1;14;20
2022-01-14;2,248;1;14;21
2022-01-14;2,444;1;14;22
2022-01-14;2,862;1;14;23
2022-01-14;2,838;1;14;24
2022-01-15;2,247;1;15;1
2022-01-15;1,425;1;15;2
2022-01-15;1,159;1;15;3
2022-01-15;1,206;1;15;4
2022-01-15;1,07;1;15;5
2022-01-15;1,203;1;15;6
2022-01-15;1,309;1;15;7
2022-01-15;1,34;1;15;8
2022-01-15;2,348;1;15;9
2022-01-15;3,371;1;15;10
2022-01-15;2,378;1;15;11
2022-01-15;1,856;1;15;12
2022-01-15;1,457;1;15;13
2022-01-15;2,555;1;15;14
2022-01-15;1,79;1;15;15
2022-01-15;2,348;1;15;16
2022-01-15;2,568;1;15;17
2022-01-15;1,93;1;15;18
2022-01-15;2,199;1;15;19
2022-01-15;1,761;1;15;20
2022-01-15;1,761;1;15;21
2022-01-15;2,412;1;15;22
2022-01-15;3,064;1;15;23
2022-01-15;3,09;1;15;24
2022-01-16;2,917;1;16;1
2022-01-16;2,627;1;16;2
2022-01-16;1,467;1;16;3
2022-01-16;1,204;1;16;4
2022-01-16;1,276;1;16;5
2022-01-16;1,319;1;16;6
2022-01-16;1,66;1;16;7
2022-01-16;1,17;1;16;8
2022-01-16;1,687;1;16;9
2022-01-16;1,242;1;16;10
2022-01-16;2,085;1;16;11
2022-01-16;2,526;1;16;12
2022-01-16;2,405;1;16;13
2022-01-16;2,148;1;16;14
2022-01-16;2,073;1;16;15
2022-01-16;1,83;1;16;16
2022-01-16;1,806;1;16;17
2022-01-16;1,892;1;16;18
2022-01-16;2,273;1;16;19
2022-01-16;2,856;1;16;20
2022-01-16;2,649;1;16;21
2022-01-16;2,696;1;16;22
2022-01-16;2,912;1;16;23
2022-01-16;2,468;1;16;24
2022-01-17;1,544;1;17;1
2022-01-17;1,184;1;17;2
2022-01-17;1,617;1;17;3
2022-01-17;1,494;1;17;4
2022-01-17;1,613;1;17;5
2022-01-17;1,476;1;17;6
2022-01-17;1,713;1;17;7
2022-01-17;1,927;1;17;8
2022-01-17;1,996;1;17;9
2022-01-17;2,152;1;17;10
2022-01-17;1,784;1;17;11
2022-01-17;1,655;1;17;12
2022-01-17;1,456;1;17;13
2022-01-17;1,554;1;17;14
2022-01-17;1,914;1;17;15
2022-01-17;1,485;1;17;16
2022-01-17;2,488;1;17;17
2022-01-17;2,554;1;17;18
2022-01-17;2,028;1;17;19
2022-01-17;2,763;1;17;20
2022-01-17;3,03;1;17;21
2022-01-17;4,236;1;17;22
