CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000003073076YC;13/01/2023;9;1,994;R
ES0021000003073076YC;13/01/2023;10;1,947;R
ES0021000003073076YC;13/01/2023;11;2,490;R
ES0021000003073076YC;13/01/2023;12;2,683;R
ES0021000003073076YC;13/01/2023;13;2,439;R
ES0021000003073076YC;13/01/2023;14;2,218;R
ES0021000003073076YC;13/01/2023;15;2,737;R
ES0021000003073076YC;13/01/2023;16;2,717;R
ES0021000003073076YC;13/01/2023;17;1,849;R
ES0021000003073076YC;13/01/2023;18;0,715;R
ES0021000003073076YC;13/01/2023;19;0,718;R
ES0021000003073076YC;13/01/2023;20;1,306;R
ES0021000003073076YC;13/01/2023;21;1,384;R
ES0021000003073076YC;13/01/2023;22;1,786;R
ES0021000003073076YC;13/01/2023;23;1,484;R
ES0021000003073076YC;13/01/2023;24;1,089;R
ES0021000003073076YC;14/01/2023;1;1,175;R
ES0021000003073076YC;14/01/2023;2;1,052;R
ES0021000003073076YC;14/01/2023;3;0,942;R
ES0021000003073076YC;14/01/2023;4;0,792;R
ES0021000003073076YC;14/01/2023;5;0,839;R
ES0021000003073076YC;14/01/2023;6;0,841;R
ES0021000003073076YC;14/01/2023;7;0,820;R
ES0021000003073076YC;14/01/2023;8;0,707;R
ES0021000003073076YC;14/01/2023;9;0,640;R
ES0021000003073076YC;14/01/2023;10;0,882;R
ES0021000003073076YC;14/01/2023;11;1,711;R
ES0021000003073076YC;14/01/2023;12;1,833;R
ES0021000003073076YC;14/01/2023;13;0,488;R
ES0021000003073076YC;14/01/2023;14;0,408;R
ES0021000003073076YC;14/01/2023;15;0,447;R
ES0021000003073076YC;14/01/2023;16;0,422;R
ES0021000003073076YC;14/01/2023;17;0,355;R
ES0021000003073076YC;14/01/2023;18;0,429;R
ES0021000003073076YC;14/01/2023;19;0,399;R
ES0021000003073076YC;14/01/2023;20;0,577;R
ES0021000003073076YC;14/01/2023;21;1,027;R
ES0021000003073076YC;14/01/2023;22;2,119;R
ES0021000003073076YC;14/01/2023;23;1,097;R
